username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,,,,,,,,
shit is happening!! Trump is winning! #voteforhillary,,,,,,,,,,
Americans will get the ungodly, racist, sexist, homofobic, opportunistic idiot for president they deserve. #voteforHillary,,,,,,
Where would the hammer fall'-lord of the rings. Please lamd om the good side! #voteforhillary #Elections2016 #ElectionFinalThoughts #pride,,,,,,,,,,
God help America if trump gets in #voteforhillary,,,,,,,,,,
#voteforhillary #DontVoteForTrump pic.twitter.com/ze4TUg0VQK,,,,,,,,,,
Imagine not being able to watch Ru Pauls Drag Race. #voteforhillary,,,,,,,,,,
Be Wise & save U.S.A ,on a bigger picture save the world. #voteforhillary Remember @realDonaldTrump is a sly businessmen. Love #nastywoman pic.twitter.com/LBaImvVVqH,,,,,,,,,
The #USElection2016 states that #apocalypsenow as @realDonaldTrump Is winning.79 Votes remaining. #voteforhillary . @HillaryClinton 4 Prez. https:// twitter.com/TimesNow/statu s/796234960113778689 …,,,,,,,,,,
#voteforhillary #ElectionNight,,,,,,,,,,
The timeline is so interesting with this Hillary-Trump rally going on rn I'd #voteforhillary if I could,,,,,,,,,,
Vote for Hillary, not Trump #teamhillary #voteforhillary,,,,,,,,,
Don't you ruin my birthday America! #ElectionNight #voteforhillary,,,,,,,,,,
Well well well... it seems like American people have made their choice... #USElection2016 #voteforhillary oh no for trump sorry,,,,,,,,,,
Trump führt! Danke America für nichts wie summ kann man sein #Trump #Clinton #Vote2016 #voteforhillary #Hillary #HillaryForPrison2016 #she,,,,,,,,,,
Que rayos esta pasando con Florida? No se dan cuenta que es un estado clave. Diablos! #voteforhillary,,,,,,,,,,
Rien n'est joué mais c'est vraiment mal parti #ElectionNight #voteforhillary,,,,,,,,,,
I'm Done! #Election2016 #voteforhillary #votefortrump @… https://www. instagram.com/p/BMlBE8qBFyMj FLKCZhoVJRVLs5mQrS_NOz-atw0/ …,,,,,,,,,,
Seriously! #VoteForHer ! #VoteForHillary ! #MakeHistoryAgain ! & We'll #MakeAmericaGreat #WithClinton ! She has worked so hard to get this far!,,,,,,,,,,
It may not be my country-but it's still apart of the world I live in... America, you can't really allow this is to happen!? #voteforhillary,,,,,,,,,
#voteforhillary,,,,,,,,,,
Let's learn from #Brexit and not sit back and expect things to just work out! The #world needs your vote #USElections #voteforhillary,,,,,,,,,,
America what is wrong with you... #voteforhillary pic.twitter.com/8JRTNrv9cA,,,,,,,,,,
I've never been so afraid for America! There truly is too many ignorant people in this world! #voteforhillary,,,,,,,,,,
Why is it so unconceivable to some people that a woman can do a better job at leading a country? #Election2016 #voteforhillary,,,,,,,,,,
wenn donald trump gewinnt verlier ich den glauben an die menschheit. #voteforhillary,,,,,,,,,,
#ElectionDay #voteforhillary i did a early vote and i voted for clinton since she has real honor,,,,,,,,,,
Hillary or death. Many stupid americans just don't know that but if Trump wins, the end of called the United States comes. #VoteforHillary,,,,,,,,,
Y'all please vote for Hillary, we can't let a racist homophobic cheeto run the country #ElectionNight #voteforhillary,,,,,,,,,
This is Russia celebrating because they won the us presidency. #voteforhillary #clinton … https://www. instagram.com/p/BMk_XBpjjqM/,,,,,,,,,,
All we can do right now is pray #VoteForHillary #ElectionNight,,,,,,,,,,
Dear Allah help us in this dark times #ElectionNight is not looking right @CNN . #VoteForHillary #Vote2016 #vote,,,,,,,,,,
Si Trump est élu, le monde ira mal !!! #ElectionNight #voteforhillary https:// twitter.com/lesechos/statu s/796214575079292933 …,,,,,,,,,
#ElectionNight #iAmNotGivingUpOnHillary @HillaryClinton @HFA #voteforhillary,,,,,,,,,,
What is wrong with the world? #brexit #ElectionNight . Can you still #voteforhillary #imwithher2016 #amerikakiest,,,,,,,,,,
#VOTEFORHILLARY #Michigan #Arizona #IDAHO #IOWA #MINNESOTA #WISCONSIN WE CAN DO IT WE STILL CAN SAVE THE WORLD #imwithHer,,,,,,,,,,
I'm imploring y'all please don't let Trump win #imwithher #voteforhillary . #ElectionNight,,,,,,,,,,
I can't believe u America!!he CAN NOT be the PRESIDENT #ElectionNight #voteforhillary #trumpcannotbethepresident,,,,,,,,,,
Let's go Michigan #voteforhillary #HillaryForPresident,,,,,,,,,,
@Mia15729799 @HillaryClinton yep #voteforhillary,,,,,,,,,,
I'm not American but I do care about America's future. Don't let Trump win!! #voteforhillary,,,,,,,,,,
#voteforhillary pic.twitter.com/WUKghiQemH,,,,,,,,,,
vote for the candidate who will TRULY guide the country #voteforhillary #ElectionNight,,,,,,,,,,
#voteforhillary if she don't win I'm moving to PR bye mfrs,,,,,,,,,,
@whitneytheband @dylanminnette I can't live in AMERICA ANY MORE THIS IS INSANE. AND IT SHOWS THAT AMERICA IS INSANE TO. #voteforhillary,,,,,,,,,,
I guess we need to prep for world war three. #uselections #voteforhillary #womensrights #blacklivesmatter #merica #why #canada #wethenorth,,,,,,,,,,
What's going on America This man can not be the president #voteforhillary #ElectionNight,,,,,,,,,,
watching election results pour in... #terrified #election2016 #voteforhillary #helpme https://www. instagram.com/p/BMk6C2EgZGj/,,,,,,,,,,
#Pa 'Lante ! #ElectionDay #VoteForHillary #VoteForCamilaToo @camilacabello97 Hay mila por dios vengan a Costa Rica ! pic.twitter.com/4ppE9dc87I,,,,,,,,,,
Estos nervios con las elecciones de EUA... No los tiene ni Obama #ElectionDay #voteforhillary #VoteForClinton #ClintonForPresident #AyDioMio,,,,,,,,,,
#ElectionNight #VoteForHillary #HillaryClintonForPresident @HillaryClinton pic.twitter.com/UVNvUfOmpC,,,,,,,,,,
We need all the luck we can get #voteforhillary #votefortrump #dontvoteatall https:// twitter.com/BBunnyGirl_/st atus/796139544202674177 …,,,,,,,,,,
Seriously? #voteforhillary #wemightdie @Mt. Hope, Providence, Rhode Island https://www. instagram.com/p/BMk5VFWBfBk/,,,,,,,,
I neeeedd my foooooood stammmmppsssss @realDonaldTrump is going to take it away ! #voteforhillary,,,,,,,,,,
He's a fucking reality star not a FUCKING PRESIDENT!?!?!!!????!? #ElectionNight #voteforhillary,,,,,,,,,,
#voteforhillary #ElectionDay Voten por Hillary pic.twitter.com/6l5HoXBTaV,,,,,,,,,,
Michigan, Do the RIGHT thing. Please #VoteForHillary #ElectionNight,,,,,,,,,
